Hero Image,Details,Description,in en,translated,name,Excursion Link
y,y,y,y,y,Ontdek Het Unieke Historische District Van Charleston,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/discover-charleston-s-unique-historic-district.html
y,y,y,y,y,Ontdek Het Unieke Historische District Van Charleston (Toegankelijk Voor Rolstoelen),https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/discover-charleston-s-unique-historic-district-wheelchair-accessible.html
n,y,y,y,y,Oud En Nieuw Montreal Met Luchthaventransfer,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/old-new-montreal-with-airport-transfer.html
n,y,y,y,y,"PEI-Kust, Vuurtoren En Kelder",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/pei-coast-lighthouse-cellar.html
n,y,y,y,y,PEI: Top 10,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/pei-top-10.html
n,y,y,y,y,Paardentram,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/horse-drawn-trolley.html
n,y,y,n,y,Paardrijden In IJsland,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/iceland-on-horseback.html
y,y,y,y,n,Paddleboard Adventure,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/paddleboard-adventure.html
n,y,y,y,n,Panoramic Newport,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/panoramic-newport.html
n,y,y,y,n,Panoramic Newport (Wheelchair Accessible),https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/panoramic-newport-wheelchair-accessible.html
y,y,y,y,y,Panoramisch Bar Harbor En Nationaal Park Acadia,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/panoramic-bar-harbor-acadia-national-park.html
y,y,y,n,y,Panoramisch Havana En Habana Compas Dance Company,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/panoramic-havana-habana-compas-dance-company.html
n,y,y,n,y,Panoramisch Havana En Quisicuaba-Gemeenschapsproject,https://www.hollandamerica.com/nl_NL/shore-excursions/1010065/panoramic-havana-quisicuaba-community-project.html
n,y,y,y,y,Panoramische Eilandtocht,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/panoramic-island-drive.html
y,y,y,y,y,Panoramische Hoogtepunten Van New York,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/panoramic-new-york-highlights.html
y,y,y,y,y,Panoramische Hoogtepunten Van New York (Toegankelijk Voor Rolstoelen),https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/panoramic-new-york-highlights-wheelchair-accessible.html
y,y,y,n,y,Parisien Cabaret In Hotel Nacional,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/parisien-cabaret-at-hotel-nacional.html
y,y,y,y,y,Peggy's Cove,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/peggy-s-cove.html
y,y,y,y,y,"Peggy's Cove En Hop-On, Hop-Off Dubbeldekkercombinatie",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/peggy-s-cove-hop-on-hop-off-double-decker-combo.html
n,y,y,y,y,Peggy's Cove Op Eigen Gelegenheid: Uitgebreid Bezoek,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/peggy-s-cove-on-your-own-extended-visit.html
n,y,y,n,y,Piep Binnen!,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/screech-in-.html
y,y,y,y,y,Pittoresk Boston,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/scenic-boston.html
n,y,y,y,y,Pittoresk Boston (Toegankelijk Met Een Rolstoel),https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/scenic-boston-wheelchair-accessible.html
n,y,y,y,y,Pittoresk Boston En Havencruise,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/scenic-boston-harbor-cruise.html
n,y,y,n,y,Poolvossen En Lawines,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/arctic-foxes-avalanches.html
y,y,y,y,n,President Truman's Key West & Old Town Trolley,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/president-truman-s-key-west-old-town-trolley.html
y,y,y,y,n,President Truman's Key West & Old Trolley (Wheelchair Accessible),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/president-truman-s-key-west-old-trolley-wheelchair-accessible.html
y,y,y,y,y,Privé-SUV - Halve Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010047/private-suv-half-day.html
y,y,y,y,y,Privé-Auto - Volledige Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010047/private-car-full-day.html
y,y,y,y,y,Privéauto - Halve Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010047/private-car-half-day.html
y,y,y,y,y,Privéauto - Halve Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010048/private-car-half-day.html
y,y,y,y,y,Privélimousine - Halve Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010048/private-limo-half-day.html
y,y,y,y,y,Privéminibus - Hele Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010047/private-van-full-day.html
y,y,y,y,y,Privéminibus - Halve Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010047/private-van-half-day.html
y,y,y,y,y,Privéminibus - Halve Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010048/private-van-half-day.html
y,y,y,y,y,Privéterreinwagen - Volledige Dag,https://www.hollandamerica.com/nl_NL/shore-excursions/1010047/private-suv-full-day.html
y,y,y,n,y,Privétour In Akureyri - Halve Dag (Minibus),https://www.hollandamerica.com/nl_NL/shore-excursions/1010053/akureyri-private-touring-half-day-minivan.html
y,y,y,n,y,Privétour In Akureyri - Volledige Dag (Minibusje),https://www.hollandamerica.com/nl_NL/shore-excursions/1010053/akureyri-private-touring-full-day-minivan.html
y,y,y,y,y,Proef Cabot Trail,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-taste-of-the-cabot-trail.html
n,y,y,y,y,Proeven In Charlottetown: Culinaire Wandeling,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-taste-of-charlottetown-culinary-walk.html
n,y,y,y,y,Proeven Van Halifax,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-taste-of-halifax.html
n,y,y,y,n,Quebec City By Helicopter,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/quebec-city-by-helicopter.html
n,y,y,n,y,Reykjavik 64 Degree Distilleerderij: In Samenwerking Met Food & Wine Magazine,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/reykjavik-64-degree-distillery-in-partnership-with-food-wine-magazine.html
y,y,y,y,y,Rondrit Over Het Eiland & Anne Of Green Gables (Anne Van Het Groene Huis),https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/island-drive-anne-of-green-gables.html
n,y,y,y,n,Rose Island Lighthouse & Harbor Cruise,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/rose-island-lighthouse-harbor-cruise.html
n,y,y,n,y,Rustig Kayakken In Het Fjord,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/calm-fjord-kayaking.html
y,y,y,y,y,Saguenay & De Erfgoedroute,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/saguenay-the-heritage-route.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/saguenay-microbrewery-vineyard-experience.html
y,y,y,y,y,Saguenay En Val-Jalbert,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/saguenay-val-jalbert.html
y,y,y,n,n,San Gervasio Archaeological Site & Beach,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/san-gervasio-archaeological-site-beach.html
n,y,y,n,y,Santana-Wandeltocht,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/santana-trail-hike.html
n,y,y,y,n,Scenic Boston With Airport Transfer,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/scenic-boston-with-airport-transfer.html
n,y,y,y,n,Scenic Boston With Airport Transfer (Wheelchair Accessible),https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/scenic-boston-with-airport-transfer-wheelchair-accessible.html
y,y,y,n,n,"Scoot Coupe, Beach & Shopping (Sold Per Vehicle)",https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/scoot-coupe-beach-shopping-sold-per-vehicle.html
y,y,y,n,n,Seaside Chocolate Workshop & Wine Pairing,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/seaside-chocolate-workshop-wine-pairing.html
y,y,y,n,n,Segway Adventure & Beach Break,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/segway-adventure-beach-break.html
n,y,y,n,y,Sieraden Van Het Noorden,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/jewels-of-the-north.html
y,y,y,n,y,Smaken En Tradities Van Havana,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/flavors-traditions-of-havana.html
y,y,y,n,n,Snuba Adventure,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/snuba-adventure.html
y,y,y,n,n,Spectacular Snorkel & Chankanaab National Park,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/spectacular-snorkel-chankanaab-national-park.html
y,y,y,y,y,Spookachtig Oud Sydney: Een Griezelige Wandeltocht,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/haunted-historic-sydney-a-wicked-walking-tour.html
n,y,y,y,y,St Martins En De Baai Van Fundy,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/st-martins-the-bay-of-fundy.html
y,y,y,n,y,"Staand Peddelen Op Een Surfboard, Snorkelen En Strand",https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/stand-up-paddle-board-snorkel-beach.html
y,y,y,n,y,Stadswandeling En Proeverij In Qaqortoq,https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/city-walk-a-taste-of-qaqortoq.html
y,y,y,n,y,"Stadswandeling, Proeverij En Looierij Qaqortoq",https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/qaqortoq-city-walk-tasting-tannery.html
n,y,y,y,y,Stap In En Uit Waar U Wilt Met De Trolleybus,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/hop-on-hop-off-trolley.html
n,y,y,y,y,Ste-Anne Kloof En Wijnhuis,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/ste-anne-canyon-winery.html
y,y,y,y,y,Ste-Anne-De-Beaupre En Montmorencywatervallen,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/ste-anne-de-beaupre-montmorency-falls.html
y,y,y,n,n,"Stingray Encounter, Snorkeling & Beach Club",https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/stingray-encounter-snorkeling-beach-club.html
y,y,y,n,y,"Stranduitje Naar Passion Island, Lunch En Schilderachtige Cruise",https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/passion-island-beach-break-lunch-scenic-cruise.html
n,y,y,n,y,Sudureyri: Een Voorproefje Van De Westfjorden,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/sudureyri-a-taste-of-the-westfjords.html
n,y,y,y,y,Sunset Cruise En Skywalk,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/sunset-cruise-skywalk.html
n,y,y,n,y,Surf & Turf In Isafjordur,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/surf-turf-in-isafjordur.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/sydney-harbour-hopper.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/gros-morne-park-tablelands-discovery-center-walk.html
n,y,y,n,y,Talloze Kraters Per Helikopter,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/countless-craters-by-helicopter.html
n,y,y,y,y,The Craftsman Road,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/the-craftsman-road.html
n,y,y,y,n,The First Nation Of Wendake,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/the-first-nation-of-wendake.html
n,y,y,y,n,The Ghosts Of Old Quebec,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/the-ghosts-of-old-quebec.html
n,y,y,y,n,"The Island's Finest: Anne, Lobster & Scenic Drive",https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/the-island-s-finest-anne-lobster-scenic-drive.html
y,y,y,n,n,The Original Tequila Experience By Jose Cuervo,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/the-original-tequila-experience-by-jose-cuervo.html
y,y,y,y,y,The Seafood Chef (Een Tour Met Kleine Groepen),https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/the-seafood-chef-a-small-group-tour.html
n,y,y,y,n,The Vanderbilts' Newport,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/the-vanderbilts-newport.html
n,y,y,n,y,Theehuisroute,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/teahouse-trail.html
n,y,y,y,y,"Top Tien: Saint John, St Martin En Baai Van Fundy",https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/top-ten-saint-john-st-martin-bay-of-fundy.html
n,y,y,y,n,Tour Van Martha’s Vineyard Island,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/martha-s-vineyard-island-tour.html
n,y,y,y,y,Trammetje 'Round Saint John',https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/trolley-round-saint-john.html
n,y,y,n,y,Trektocht Langs De Kust,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/coastal-hike.html
n,y,y,y,y,Trektocht Naar Uisage Ban Falls,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/hike-to-uisage-ban-falls.html
y,y,y,n,y,Tropicana Cabaret: Rhythms Of The Night (Premium Zitplaatsen),https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/tropicana-cabaret-rhythms-of-the-night-premium-seating.html
y,y,y,n,y,Tropicana Cabaret: Rhythms Of The Night (Zitplaatsen Op Middelhoogte),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/tropicana-cabaret-rhythms-of-the-night-mid-level-seating.html
n,y,y,n,y,True Connection Dolfijnenervaring,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/true-connection-dolphin-experience.html
y,y,y,n,n,Tulum Mayan Ruins & Beach Break,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/tulum-mayan-ruins-beach-break.html
y,y,y,n,n,Tulum Mayan Ruins Express,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/tulum-mayan-ruins-express.html
y,y,y,n,n,Two-Tank Certified Dive,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/two-tank-certified-dive.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/peggy-s-cove-extended-visit-lunch.html
n,y,y,y,y,Ultieme Anne Of Green Gables Ervaring,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/ultimate-anne-of-green-gables-experience.html
n,y,y,n,y,Ultieme Vlucht Over Het Meer Myvatn,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/lake-myvatn-ultimate-flight.html
n,y,y,y,y,Universal Studios Orlando,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/universal-studios-orlando.html
y,y,y,n,n,VIP Luxury Champagne Catamaran Sail & Snorkel,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/vip-luxury-champagne-catamaran-sail-snorkel.html
n,y,y,y,y,Verken De Bodem Van De Oceaan,https://www.hollandamerica.com/nl_NL/shore-excursions/1010065/explore-the-ocean-floor.html
y,y,y,y,y,Victoriaanse Dorpen Van Mount Desert Island,https://www.hollandamerica.com/nl_NL/shore-excursions/1010062/victorian-villages-of-mount-desert-island.html
n,y,y,n,y,Vuurtorenreis,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/lighthouse-journey.html
n,y,y,n,y,Walvis Spotten Vanaf Isafjordur Met RIB Boat (Stijve Opblaasboot),https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/whale-watching-from-isafjordur-by-rib-boat.html
n,y,y,n,y,Walvissen Potten In Akureyri,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/whale-watching-from-akureyri.html
n,y,y,n,y,Walvisspotervaring,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/whale-watching-experience.html
y,y,y,y,y,Wandelen Nabij Saguenay,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/saguenay-hiking.html
n,y,y,n,y,Wandeling Door St John's,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/a-walk-through-st-john-s.html
y,y,y,n,y,Wandeltocht Door Oud Havana En Bezoek Aan Het Fort,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/old-havana-walking-tour-fortress-visit.html
y,y,y,n,y,Wandeltocht Langs De Great Lake,https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/hiking-around-the-great-lake.html
y,y,y,n,n,"Waverunner, Snorkelen En Strand",https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/waverunner-snorkel-beach.html
n,y,y,n,y,Weg Van Het Gebaande Pad: Cruise Naar Het Eiland Vigur Bird,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/off-the-beaten-track-cruise-to-vigur-bird-island.html
n,y,y,y,n,Whale Watching,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/whale-watching.html
n,y,y,y,y,Winkeltransfer Voor Freeport En LL Bean,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/freeport-ll-bean-shopping-transfer.html
y,y,y,y,n,World Famous Conch Train Hop-On/Hop-Off (Wheelchair Accessible),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/world-famous-conch-train-hop-on-hop-off-wheelchair-accessible.html
y,y,y,y,n,World-Famous Hop-On/Hop-Off Conch Train,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/world-famous-hop-on-hop-off-conch-train.html
y,y,y,n,n,Xcaret Park,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/xcaret-park.html
y,y,y,n,n,Xel-Ha Paradise & Tulum Mayan Ruins,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/xel-ha-paradise-tulum-mayan-ruins.html
y,y,y,n,n,Xplor Park - All-Inclusive Adventure,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/xplor-park-all-inclusive-adventure.html
y,y,y,n,y,Zee En Bezienswaardigheden Met Een Terracross Met Vierwielaandrijving En Een Speedboat,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/surf-turf-4x4-terracross-speed-boat.html
y,y,y,y,y,Zeekajakken Saguenay,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/saguenay-sea-kayaking.html
n,y,y,y,y,Zoals U Het Wilt: Nationaal Park Acadia,https://www.hollandamerica.com/nl_NL/shore-excursions/1010065/as-you-like-it-acadia-national-park.html
