Hero Image,Details,Description,in en search,in en site,translated,name,Excursion Link
n,y,n,"De grootste stad van New England, Boston, Massachusetts, heeft historische bezienswaardigheden en moderne wijken; winkels en restaurants met een ouderwets karakter, lieftallige groene zones en een...",n,y,y,Boston,https://www.hollandamerica.com/nl_NL/ports/boston-massachusetts-us.html
n,y,n,,y,y,n,"Cabo San Lucas, Mexico",https://www.hollandamerica.com/nl_NL/ports/cabo-san-lucas-mexico.html
n,y,n,"Haar officiële naam is Cartagena de Indias, oftewel 'Cartagena van Indië', maar noem het kortweg Cartagena. De formele naam wijst op de koloniale relatie van de Colombiaanse stad met Spanje; ze...",y,y,y,"Cartagena, Colombia",https://www.hollandamerica.com/nl_NL/ports/cartagena-colombia.html
n,y,n,"Charleston is ouder dan de VS en aan de straten staan huizen die honderden jaren oud zijn. Ga terug in de tijd in deze zeer zuidelijke havenstad met lanen die geplaveid zijn met kasseien,...",y,y,y,"Charleston, South Carolina, VS",https://www.hollandamerica.com/nl_NL/ports/charleston-south-carolina-us.html
n,y,n,"Colon lies on the stunning Caribbean coast of Panama, where unparalleled beaches and lush tropical scenery are de rigueur. In nearby Portobello, discover the ruins of Spanish forts, watch the...",y,y,n,"Colón, Panama",https://www.hollandamerica.com/nl_NL/ports/colon-panama.html
n,y,n,"Als reisbestemming blijft Nicaragua nog steeds onder de radar van veel Amerikanen, ondanks een recente opleving in mediabelangstelling voor dit Midden-Amerikaanse land. Nicaragua, een van de meest...",y,y,y,"Corinto, Nicaragua",https://www.hollandamerica.com/nl_NL/ports/corinto-nicaragua.html
n,y,n,"De bouw van het Panamakanaal is een van de epische verhalen uit het verleden, een ouderwets verhaal over ingenieurs, ambitie en moed. Een eeuw geleden boorden tienduizenden arbeiders gaten met...",y,y,y,Cruise over het Gatunmeer en het Panamakanaal,https://www.hollandamerica.com/nl_NL/ports/cruising-gatun-lake-and-panama-canal.html
n,y,n,"De bouw van het Panamakanaal is een van de epische verhalen uit het verleden, een ouderwets verhaal over ingenieurs, ambitie en moed. Een cruise langs het Panamakanaal betekent een reis door de eeuwen...",y,y,n,Cruisen door het Panamakanaal,https://www.hollandamerica.com/nl_NL/ports/cruising-panama-canal.html
n,y,n,"Glinsterend blauw water, wuivende palmbomen en een zachte zeewind begroeten u in Ft. Lauderdale, Florida, waar u zich bevindt ergens tussen relaxte eilandtijd en het snelle tempo van een bloeiende...",y,y,y,Fort Lauderdale,https://www.hollandamerica.com/nl_NL/ports/fort-lauderdale-florida-us.html
n,y,n,"Fuerte Amador, gelegen ten westen van Panama-Stad bij de ingang van de Pacific tot het Panamakanaal, is het begin van de verkenningstocht naar de vele gezichten van dit unieke Centraal-Amerikaanse...",y,y,y,"Fuerte Amador, Panama",https://www.hollandamerica.com/nl_NL/ports/fuerte-amador-panama.html
n,y,n,In het midden van een van de grootste bouwprojecten ter wereld is nog een plekje waar de natuur de ruimte heeft om te bloeien: het uitgestrekte Gatún Lake. Het meer omvat ongeveer 33...,y,y,y,"Gatun Lake, Panama",https://www.hollandamerica.com/nl_NL/ports/gatun-lake-panama.html
n,y,n,Als u er ooit van hebt gedroomd schipbreukeling te zijn of een privé-eiland ten minste één keer helemaal voor u zelf te hebben - en wie heeft dat nu niet? - dan biedt —Half Moon Cay in de...,y,y,y,Half Moon Cay,https://www.hollandamerica.com/nl_NL/ports/half-moon-cay-bahamas.html
n,y,n,"Huatulco, aan de Mexicaanse kust van de Stille Oceaan in de staat Oaxaca, heeft negen baaien en 36 stranden, zodat er zeker voldoende mogelijkheden zijn voor plezier in de zon. Het populairste...",y,y,y,"Huatulco, Mexico",https://www.hollandamerica.com/nl_NL/ports/huatulco-mexico.html
n,y,n,"De stad Balboa ligt bij het Pacifische eind van het Panamakanaal, een van de grootste ingenieurswonderen ter wereld. Het administratief centrum van de kanaalzone was lange tijd Amerikaans...",y,y,y,Ingang Panamakanaal Balboa,https://www.hollandamerica.com/nl_NL/ports/enter-panama-canal-balboa.html
n,y,n,Denk aan het Panamakanaal en het eerste beeld dat dan waarschijnlijk in u opkomt is dat van de grootste tankers en cruiseschepen ter wereld die door een reeks sluizen varen. Dit weerspiegelt echter...,y,y,y,Ingang Panamakanaal Cristobal,https://www.hollandamerica.com/nl_NL/ports/enter-panama-canal-cristobal.html
n,y,n,"Een van de eerste dingen die u opmerkt in Key West, na de kleurrijke houten peperkoekhuizen en de geweldige zonsondergangen, is het constante kraaien van hanen. Honderden luidruchtige vogels...",y,y,y,Key West,https://www.hollandamerica.com/nl_NL/ports/key-west-florida-us.html
n,y,n,"Haast zodra u de haven van Kralendijk in gaat, realiseert u zich dat dit een van de meest gemoedelijke aanlegplaatsen is. Hoewel er een aantal kleurrijke straten is om door te wandelen naar de...",y,y,y,"Kralendijk, Bonaire",https://www.hollandamerica.com/nl_NL/ports/kralendijk-bonaire.html
n,y,n,"Te midden van de heuvels vindt u het Hollywood sign, de markering die aangeeft dat u zich in de entertainmenthoofdstad van de wereld bevindt. Wandel over de glamoureuze Rodeo Drive in Beverly...",y,y,y,"Los Angeles, Californië, VS",https://www.hollandamerica.com/nl_NL/ports/los-angeles-california-us.html
n,y,n,"Eén blik op het wapenschild van Manzanillo zegt veel over een van de opvallendste havensteden in Mexico. Het schild is in vier delen verdeeld en toont een zeilboot met verschillende masten, een...",y,y,y,"Manzanillo, Mexico",https://www.hollandamerica.com/nl_NL/ports/manzanillo-mexico.html
n,y,n,"Het door de wind geteisterde Nederlandse eiland Aruba, net buiten de kust van Venezuela, is buitenaards. Hier zijn de stranden spectaculair ongerept, de wateren zijn romantisch rusteloos, het...",y,y,y,"Oranjestad, Aruba",https://www.hollandamerica.com/nl_NL/ports/oranjestad-aruba.html
n,y,n,"Een van de stops langs de route van het Panamakanaal, Puerto Caldera aan de kust van de Stille Oceaan in Costa Rica, is geen gewone aanleghaven; ze is gelegen op een eenvoudige dagtrip afstand van...",y,y,y,"Puerto Caldera (Puntarenas), Costa Rica",https://www.hollandamerica.com/nl_NL/ports/puerto-caldera-puntarenas-costa-rica.html
n,y,n,"De meest zuidelijke haven aan de kust van de Stille Oceaan in Mexico, Puerto Chiapas, is genoemd naar de staat waarin het is gelegen. Het is relatief nieuw, gebouwd in 1975, en is de belangrijkste...",n,y,y,"Puerto Chiapas, Mexico",https://www.hollandamerica.com/nl_NL/ports/puerto-chiapas-mexico.html
n,y,n,"Puerto Limón is wellicht niet de meest bruisende haven die u ooit hebt bezocht, maar laat u niet afschrikken door zijn façade; net als de meeste kustplaatsen van Costa Rica is dit het...",n,y,y,"Puerto Limon (San Jose), Costa Rica",https://www.hollandamerica.com/nl_NL/ports/puerto-limon-san-jose-costa-rica.html
n,y,n,Puerto Quetzal is de grootste haven van Guatemala aan de Pacifische kant van Midden-Amerika en van belang voor zowel vracht- als cruiseschepen. In Puerto Quetzal zelf is niet veel te zien en te...,n,y,y,"Puerto Quetzal, Guatemala",https://www.hollandamerica.com/nl_NL/ports/puerto-quetzal-guatemala.html
